UTE: Abantia Instalaciones S.A.U. - Revenga Ingenieros,"Abantia Instalaciones, S.A",Abantia
UTE: Abantia Instalaciones S.A.U. - Revenga Ingenieros,Revenga Ingenieros,Revenga Ingenieros
UTE: Abeconsa S.L.U. - Xestión Ambiental de Contratas,ABECONSA,Grupo Fomento de Iniciativas
UTE: Abeconsa S.L.U. - Xestión Ambiental de Contratas,Xestión Ambiental de Contratas,Xestión Ambiental de Contratas
UTE: Acc S.A.- Excavaciones y afirmados Rondan,"Aguas, Caminos y Carreteras","Aguas, Caminos y Carreteras"
UTE: Acc S.A.- Excavaciones y afirmados Rondan,Excavaciones y afirmados Rondan,Excavaciones y afirmados Rondan
UTE: Acc S.A.- Pevesa,"Aguas, Caminos y Carreteras","Aguas, Caminos y Carreteras"
UTE: Acc S.A.- Pevesa,Pevesa,Pevesa
UTE: Accesos Sud,Construcciones y Obras Públicas Civiles,COPCISA
UTE: Accesos Sud,Obrascón Huarte Lain,Grupo Villar Mir
UTE: Acciona Agua S.A./Gaimaz Infraestructuras y Servicios,Acciona Agua,Acciona
UTE: Acciona Agua S.A./Gaimaz Infraestructuras y Servicios,Gaimaz Infraestructuras y Servicios,Gaimaz Infraestructuras y Servicios
UTE: Acciona Agua S.A.L.-Excavaciones Leandro Gómez,Acciona Agua,Acciona
UTE: Acciona Agua S.A.L.-Excavaciones Leandro Gómez,Excavaciones Leandro Gómez,Excavaciones Leandro Gómez
"UTE: Acciona Agua S.A.U. y Acciona Mantenimiento de Infraestructuras, S.A.",Acciona Agua,Acciona
"UTE: Acciona Agua S.A.U. y Acciona Mantenimiento de Infraestructuras, S.A.",Acciona Mantenimiento de Infraestructuras,Acciona
"UTE: Acciona Agua S.A.U., Acciona Mantenimiento de Infraestructuras, S.A. y Acciona Infraestructuras, S.A.",Acciona Agua,Acciona
"UTE: Acciona Agua S.A.U., Acciona Mantenimiento de Infraestructuras, S.A. y Acciona Infraestructuras, S.A.",Acciona Infraestructuras,Acciona
"UTE: Acciona Agua S.A.U., Acciona Mantenimiento de Infraestructuras, S.A. y Acciona Infraestructuras, S.A.",Acciona Mantenimiento de Infraestructuras,Acciona
UTE: Acciona Infraestructuras / Dragados S.A.,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras / Dragados S.A.,Dragados,ACS
"UTE: Acciona Infraestructuras e Izel Obras e Infraestructuras, S.L. (anteriormente SEOP Obras y Proyectos, S.L.)",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras e Izel Obras e Infraestructuras, S.L. (anteriormente SEOP Obras y Proyectos, S.L.)","Izel Obras e Infraestructuras, S.L.","Izel Obras e Infraestructuras, S.L."
UTE: Acciona Infraestructuras S.A. y Construcciones Tejera,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras S.A. y Construcciones Tejera,Construcciones Tejera,Construcciones Tejera
UTE: Acciona Infraestructuras S.A. y Lopesán Asfaltos y Construcciones,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras S.A. y Lopesán Asfaltos y Construcciones,Lopesán Asfaltos y Construcciones,Lopesán Asfaltos y Construcciones
UTE: Acciona Infraestructuras S.A. y Obras Subterráneas S.A. con un porcentaje de participación del 75% y 25% respectivamente,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras S.A. y Obras Subterráneas S.A. con un porcentaje de participación del 75% y 25% respectivamente,"Obras Subterráneas, S.A.","Obras Subterráneas, S.A."
UTE: Acciona Infraestructuras S.A. y Rohde Nielsen Sucursal España,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras S.A. y Rohde Nielsen Sucursal España,Rohde Nielsen Sucursal España,Rohde Nielsen
UTE: Acciona Infraestructuras S.A.-Emilio Bolado,Acciona Infraestructuras,Acciona
UTE: Acciona Infraestructuras S.A.-Emilio Bolado,Emilio Bolado,Emilio Bolado
"UTE: Acciona Infraestructuras S.A.-Hormigones Insulares, S.L.-Lanzagrava, S.L.",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras S.A.-Hormigones Insulares, S.L.-Lanzagrava, S.L.","Hormigones Insulares, S.L.","Hormigones Insulares, S.L."
"UTE: Acciona Infraestructuras S.A.-Hormigones Insulares, S.L.-Lanzagrava, S.L.","Lanzagrava, S.L.","Lanzagrava, S.L."
"UTE: Acciona Infraestructuras, S.A y Lurgoien, S.A., UTE abreviadamente MUSIKENE CONSERVATORIO",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A y Lurgoien, S.A., UTE abreviadamente MUSIKENE CONSERVATORIO","Lurgoien, S.A.","Lurgoien, S.A."
"UTE: Acciona Infraestructuras, S.A. - Copcisa, S.A.",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. - Copcisa, S.A.",Construcciones y Obras Públicas Civiles,COPCISA
"UTE: Acciona Infraestructuras, S.A. - Cyes Infraestructuras",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. - Cyes Infraestructuras",Cyes,Grupo Cyes
"UTE: Acciona Infraestructuras, S.A. - Eiffage Infraestructuras",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. - Eiffage Infraestructuras",Eiffage Infraestructuras,Eiffage
"UTE: Acciona Infraestructuras, S.A. - Ocide Construcción",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. - Ocide Construcción",Ocide Construcción,Ocide Construcción
"UTE: Acciona Infraestructuras, S.A. (75%), y Torrescamara y Cía. de Obras, S.A. (25%)",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. (75%), y Torrescamara y Cía. de Obras, S.A. (25%)",Torrescámara y Compañía de Obras,Torrescámara y Compañía de Obras
"UTE: Acciona Infraestructuras, S.A. (80%), y Excavaciones Viuda de Sainz, S.A. (20%)",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. (80%), y Excavaciones Viuda de Sainz, S.A. (20%)",Excavaciones Vda. de Sainz,Excavaciones Vda. de Sainz
"UTE: Acciona Infraestructuras, S.A. (90%) - Construcciones Villegas, S.L. (10%)",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. (90%) - Construcciones Villegas, S.L. (10%)",Construcciones Villegas,Construcciones Villegas
"UTE: Acciona Infraestructuras, S.A. / Acciona Agua",Acciona Agua,Acciona
"UTE: Acciona Infraestructuras, S.A. / Acciona Agua",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. / Constructora de Proyectos y Obra Civil 2012, S.L. - UTE Estación Marítima Santa Cruz de Tenerife",Acciona Infraestructuras,Acciona
"UTE: Acciona Infraestructuras, S.A. / Constructora de Proyectos y Obra Civil 2012, S.L. - UTE Estación Marítima Santa Cruz de Tenerife","Constructora de Proyectos y Obra Civil 2012, S.L.","Constructora de Proyectos y Obra Civil 2012, S.L."
"UTE: Acciona Infraestructuras, S.A. / Empresa Constructora Familiar",Acciona Infraestructuras,Acciona
